               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  57,            0.051789,            0.029494,            0.036084,             0.59496,             0.43262,             0.45964,             0.19161,            0.040702,            0.025075,            0.028626,            0.004456,            0.004456,            0.004456
                  58,             0.05187,            0.029496,            0.036097,             0.57016,             0.44762,             0.47539,             0.19766,            0.040498,            0.025032,            0.028079,            0.004357,            0.004357,            0.004357
                  59,            0.051723,            0.030007,            0.035165,             0.56728,             0.44348,             0.48027,             0.19779,            0.041172,            0.025094,            0.027942,            0.004258,            0.004258,            0.004258
                  60,            0.050989,            0.029356,            0.036047,             0.55154,             0.46763,             0.48968,             0.20491,            0.040788,            0.025012,            0.027653,            0.004159,            0.004159,            0.004159
                  61,             0.05173,            0.029075,            0.036125,             0.57095,             0.45811,             0.49079,              0.1996,            0.042351,            0.025205,            0.027553,             0.00406,             0.00406,             0.00406
                  62,            0.051943,            0.028474,            0.035548,             0.58574,             0.46495,             0.49625,             0.20669,            0.040788,            0.025069,            0.027127,            0.003961,            0.003961,            0.003961
                  63,            0.050886,            0.028559,            0.034753,             0.53551,             0.49159,             0.50405,             0.21397,            0.040187,            0.024938,             0.02684,            0.003862,            0.003862,            0.003862
                  64,            0.050471,            0.029439,            0.033967,             0.54668,             0.48547,             0.50751,             0.21662,            0.040681,             0.02488,            0.026616,            0.003763,            0.003763,            0.003763
                  65,            0.050264,            0.029007,            0.033648,              0.5493,             0.49275,             0.51301,             0.21199,            0.040378,            0.024837,            0.026422,            0.003664,            0.003664,            0.003664
                  66,            0.050476,            0.028951,            0.033972,             0.56386,             0.47477,             0.49867,             0.21083,            0.041057,             0.02509,            0.026568,            0.003565,            0.003565,            0.003565
                  67,            0.050022,            0.029986,            0.034856,              0.5655,             0.50621,             0.51961,              0.2202,            0.040798,            0.024916,            0.026035,            0.003466,            0.003466,            0.003466
                  68,            0.049564,            0.029427,            0.034314,             0.54876,             0.50103,             0.51365,             0.21396,            0.040847,            0.024857,            0.025832,            0.003367,            0.003367,            0.003367
                  69,             0.04947,            0.028792,            0.033218,             0.57141,             0.50556,             0.52492,             0.22553,            0.040356,            0.024695,            0.025412,            0.003268,            0.003268,            0.003268
                  70,             0.04975,            0.029038,             0.03219,             0.57891,             0.50775,             0.53655,              0.2343,             0.03979,            0.024687,            0.025283,            0.003169,            0.003169,            0.003169
